Price Change,Volume Change
0.169998,268800
1.100006,353400
-1.540008,-59800
0.540008,-1237200
-0.520004,901500
0.679993,556100
-0.959992,-132800
0.970001,-1506800
0.39,388800
-0.200012,1663400
-0.769989,1448800
-2.949997,852000
1.429992,-2634500
1.009995,-2959000
1.910004,2792800
-2.630005,-303800
2.210006,-839600
-0.339996,1285200
-0.690002,-779700
-2.410004,549700
0.290008,1556200
1.399994,-2514400
0.100006,903800
1.689988,20700
1.12001,419800
-0.410004,528600
0.320008,-1240900
0.459991,536100
-0.130005,1626700
-2.619995,-1440400
-0.330002,-555700
-0.519989,1048200
0.279999,2764700
-2.700012,-2957700
0.529999,983700
-0.759995,861800
-0.830002,-2457100
-0.169998,-764700
0.160004,2115900
-0.759995,724300
-1.040008,7213600
4.800003,-3836400
-1.770004,-3102300
0.440002,-1567300
-1.130005,3131200
-0.519989,-3147000
-0.190002,-1633000
-0.809998,536500
-0.130005,1900000
-0.880005,-1657800
-0.179992,1419500
-2.410004,-2142600
0.389999,1561300
-1.5,804600
1.339997,-1274600
-0.589997,2330100
-0.240005,-1325900
-0.539993,967000
-2.440003,-3223600
0.900009,1023600
-0.590011,345500
-0.190003,1877600
-1.599991,3251900
-0.520004,-5712400
-0.240005,77500
-0.579987,88000
0.759995,420800
-1.620003,-852600
-1.629997,-982000
-0.279999,1040800
-0.130005,-124200
1.630005,789600
-2.540001,-39600
0.729996,519800
-2.64,1100
0.270005,-2020200
1.330001,2610200
-1.950004,1532400
2.489998,-2511300
-0.369995,385900
1.569999,-1586800
1.029999,2211900
1.399994,-843900
0.490005,-519200
-0.940002,-584900
-0.68,-289100
0.100006,660200
0.43,462800
1.529999,1183900
2.009994,-844400
0.160004,660000
-1.860001,4500
1.690003,-1615600
-0.559998,46900
-0.900009,524300
0.39,1345700
-2.360001,-416500
-0.37999,2973200
0.409989,-4745400
0.200012,399400
-0.220001,526700
-0.029999,-96900
-0.910004,1831000
-2.200004,1706500
1.280006,7721900
3.23999,-7948800
-1.759994,-1385700
2.690002,-816100
0,420400
-0.240005,80500
-1.809998,-2480800
-0.709999,-308900
0.010002,1541300
-0.970001,1651000
-3.540001,-741600
-1.599998,105800
0.709999,3287600
0.910003,-1724100
1.609993,1358200
3.89,-3041100
-1.859993,4085300
1.069999,-4854900
1.919999,1290300
-0.809998,-825600
1.349991,827600
-0.5,2723600
0.830002,-4010400
-0.62999,830000
-0.560013,251500
-1.289993,100500
-0.050003,-932800
-0.769997,1659500
-3.779998,315800
-0.180001,603700
0.409996,-1447800
1.150002,2717800
2.68,-3023900
-0.549995,1060000
-3.070008,-569900
0.920006,286500
1.129997,304000
-3.159996,1357300
1.289994,411600
-0.07,-2626200
0.970001,5770900
-1.619995,537000
5.059998,-4507200
1.089996,660700
0.490005,-406600
0.75,996700
0.289994,577700
1.199997,6129100
-5.789994,-10128000
-0.620002,1965000
-4.169999,2120900
1.82,2584000
3.540001,-7096000
0.659996,2212200
1.480011,-3292900
-0.600006,1274600
1.460007,-479800
-0.360001,1335400
-1.279999,3794400
1.909989,-5631300
-0.739991,911900
-0.86,-178800
-0.14,1540700
0.699997,7657300
2.539994,-3862800
-1.599991,-1807500
0.259994,-3120900
0.360001,2120500
-2.220001,-1726700
-0.669998,-2826800
0.399994,1192800
-1.149994,821800
0.869995,-849900
0.449997,-1230700
0.420013,192400
-1.100006,861800
0,-75700
0.520004,-1478200
-0.180008,1216400
0.669999,907800
-0.01999,2052400
-0.710006,-933900
0.839996,-690800
-1.389992,-326600
-0.270004,5092400
0.670006,-5789900
-0.620003,1394000
0.909996,-213500
-0.839996,-1637200
0.11,671800
-0.340004,2752700
-1.979995,-1006000
-0.07,612600
0.860001,-1329500
0.839996,-59100
-0.529999,-107900
0.159996,357700
0.540001,-376700
1.150009,-1435600
-1.410003,206500
-0.090004,874500
0.519996,-876700
-1.129997,-190100
0.389999,-783800
0.340004,2495000
0.619996,-777200
-1.479996,301500
-1.099999,949900
-1.230003,1240400
-0.269997,-2928700
-0.920005,130100
0.400001,825400
-1.330002,-326000
1.64,2898500
-0.519997,509900
2.660004,-4949800
-0.130005,1722800
-0.860001,1343000
-2.279999,4328300
1.360001,-1949000
2.580002,-903000
-0.580002,-1583900
0.370003,-1396800
-0.620003,4350100
3.5,-480000
1.25,5588900
3.889999,-1281300
-2.36,-5421800
0.529999,-1382600
-2.080002,-656400
0.279999,1626100
-1.029999,-2351100
1.37001,-1533200
-1.300003,1643400
0.449997,-235300
0.850006,1236100
1.599991,-686100
-1.550003,-1931900
1.670013,-356400
-0.720001,317200
0.459992,1616200
-1.739991,-1535300
-0.570007,-137500
-0.070007,1407900
-1.279999,-763000
-0.73999,4334100
-0.510002,-3197100
1.310005,463000
-0.220002,1490100
1.439988,-2661300
-0.25,1395900
-0.339997,480600
-0.949997,-1005900
-1.589996,-720500
0.239998,-1207000
0.209999,2924100
0.300003,-1308500
-0.340004,-1162100
0.730003,1980700
-1.590004,-275900
-0.650001,-2983500
1.580002,648500
0.650001,848800
0.269997,2187000
-1.239998,-1649300
0.580002,-45800
0.609993,-1338300
0.480011,-2942600
-0.419998,6795000
-1.180008,-2842800
-0.769997,365700
0.93,1185400
-0.279998,-86300
-0.910004,1320100
-2.510002,-2785000
-0.39,1722200
-1.809997,-348500
-0.129997,-646500
-0.600006,1342600
0.050003,662300
2.260002,-1402300
-1.370003,2471000
-0.849998,665000
-0.540001,-2906900
0.25,260700
2.330001,-772200
-1.819999,1144000
1.949997,1609700
0.239998,-1266600
-1.419999,11702800
6.340004,-7312300
0.370003,-2359100
-1.330009,-1964200
0.020004,149200
-1.110001,5392600
-3.639999,-6625100
0.489998,-626000
-1.430001,787100
-1.599998,-985800
-0.730003,1908600
-1.119995,-514400
1.709999,665800
-0.800003,-984500
0.520004,1499800
1.75,-3060700
-0.14,238900
-0.120002,111300
0.790001,26600
-0.040001,-1049600
0.540001,5420700
-0.230004,-1543200
-0.059997,2844100
-2.470002,-4700700
-0.470001,-1777400
-0.829994,1135100
-0.380005,-1004300
-0.909996,358700
0.400002,549400
0.299995,-2345800
-1.129997,1484500
-0.240006,242600
0.600006,1125000
1.360001,-864400
0.169998,796300
1.209999,-1878800
0.040001,158600
-0.639999,136700
0.489998,1711200
0.580002,1943400
-0.950005,-3465100
-0.379997,-3800
-0.940003,-551700
-0.769996,1063400
1.709999,-553200
1.010002,692800
-0.290001,800500
-1.5,-1445200
0.909996,-863200
0.630005,1781900
-1.950005,239900
1.090004,-977300
1.129997,-32300
0.32,1114700
-1.989998,-778600
-0.069999,1473500
-0.599999,-1702200
0.019997,682000
0.349998,-713700
0.010002,1191800
-0.580001,2200400
